true_values,predicted_values,abs_loss
0.183,0.204,0.02099999999999999
0.25,0.183,0.067
0.57,0.25,0.31999999999999995
1.229,0.57,0.6590000000000001
1.384,1.229,0.1549999999999998
1.354,1.384,0.029999999999999805
1.866,1.354,0.512
2.145,1.866,0.2789999999999999
2.527,2.145,0.3820000000000001
2.396,2.527,0.13100000000000023
2.129,2.396,0.2669999999999999
1.63,2.129,0.4990000000000001
0.844,1.63,0.7859999999999999
0.389,0.844,0.45499999999999996
0.068,0.389,0.321
0.044,0.068,0.024000000000000007
0.059,0.044,0.015
0.334,0.059,0.275
1.107,0.334,0.7729999999999999
2.337,1.107,1.2300000000000002
3.585,2.337,1.2479999999999998
5.02,3.585,1.4349999999999996
6.433,5.02,1.4130000000000003
6.939,6.433,0.5060000000000002
7.783,6.939,0.8440000000000003
8.758,7.783,0.9749999999999988
8.24,8.758,0.5179999999999989
8.322,8.24,0.08199999999999896
7.015,8.322,1.3069999999999995
5.378,7.015,1.6369999999999996
5.504,5.378,0.12599999999999945
5.327,5.504,0.1769999999999996
4.654,5.327,0.673
4.263,4.654,0.391
4.103,4.263,0.16000000000000014
4.179,4.103,0.07600000000000051
3.923,4.179,0.2560000000000002
3.251,3.923,0.6720000000000002
2.552,3.251,0.6989999999999998
2.149,2.552,0.403
1.89,2.149,0.2590000000000001
1.657,1.89,0.23299999999999987
1.555,1.657,0.10200000000000009
1.488,1.555,0.06699999999999995
1.326,1.488,0.16199999999999992
1.149,1.326,0.17700000000000005
1.225,1.149,0.07600000000000007
1.273,1.225,0.04799999999999982
1.217,1.273,0.05599999999999983
1.269,1.217,0.051999999999999824
1.396,1.269,0.127
1.34,1.396,0.05599999999999983
1.11,1.34,0.22999999999999998
0.892,1.11,0.21800000000000008
0.765,0.892,0.127
0.747,0.765,0.018000000000000016
0.777,0.747,0.030000000000000027
0.812,0.777,0.03500000000000003
0.786,0.812,0.026000000000000023
0.762,0.786,0.02400000000000002
0.816,0.762,0.05399999999999994
0.808,0.816,0.007999999999999896
0.751,0.808,0.05700000000000005
0.751,0.751,0.0
0.781,0.751,0.030000000000000027
0.718,0.781,0.06300000000000006
0.609,0.718,0.10899999999999999
0.657,0.609,0.04800000000000004
0.662,0.657,0.0050000000000000044
0.522,0.662,0.14
0.4,0.522,0.122
0.346,0.4,0.05400000000000005
0.287,0.346,0.059
0.413,0.287,0.126
0.659,0.413,0.24600000000000005
0.836,0.659,0.17699999999999994
1.172,0.836,0.33599999999999997
1.473,1.172,0.30100000000000016
1.706,1.473,0.23299999999999987
1.736,1.706,0.030000000000000027
1.668,1.736,0.06800000000000006
1.567,1.668,0.10099999999999998
1.421,1.567,0.1459999999999999
1.193,1.421,0.22799999999999998
0.8,1.193,0.393
0.543,0.8,0.257
0.306,0.543,0.23700000000000004
0.084,0.306,0.22199999999999998
0.067,0.084,0.017
0.049,0.067,0.018000000000000002
0.035,0.049,0.013999999999999999
0.038,0.035,0.0029999999999999957
0.042,0.038,0.0040000000000000036
0.039,0.042,0.0030000000000000027
0.037,0.039,0.0020000000000000018
0.04,0.037,0.0030000000000000027
0.036,0.04,0.0040000000000000036
0.029,0.036,0.006999999999999996
0.017,0.029,0.012
0.016,0.017,0.0010000000000000009
0.022,0.016,0.005999999999999998
0.018,0.022,0.004
0.013,0.018,0.004999999999999999
0.0,0.013,0.013
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
