true_values,predicted_values,abs_loss
1.743,1.826,0.08299999999999996
1.702,1.743,0.04100000000000015
1.686,1.702,0.016000000000000014
1.671,1.686,0.014999999999999902
1.622,1.671,0.04899999999999993
1.566,1.622,0.05600000000000005
1.547,1.566,0.019000000000000128
1.528,1.547,0.018999999999999906
1.486,1.528,0.04200000000000004
1.475,1.486,0.010999999999999899
1.449,1.475,0.026000000000000023
1.363,1.449,0.08600000000000008
1.28,1.363,0.08299999999999996
1.217,1.28,0.06299999999999994
1.191,1.217,0.026000000000000023
1.206,1.191,0.014999999999999902
1.271,1.206,0.06499999999999995
1.317,1.271,0.04600000000000004
1.419,1.317,0.10200000000000009
1.59,1.419,0.17100000000000004
1.791,1.59,0.20099999999999985
2.003,1.791,0.2120000000000002
2.316,2.003,0.3129999999999997
2.817,2.316,0.5010000000000003
3.365,2.817,0.548
3.951,3.365,0.5859999999999999
4.627,3.951,0.6759999999999997
5.071,4.627,0.44399999999999995
5.046,5.071,0.024999999999999467
4.699,5.046,0.3470000000000004
4.333,4.699,0.36599999999999966
4.323,4.333,0.009999999999999787
4.549,4.323,0.22599999999999998
4.823,4.549,0.274
5.022,4.823,0.19899999999999984
5.327,5.022,0.3049999999999997
5.604,5.327,0.27700000000000014
5.846,5.604,0.242
6.143,5.846,0.2969999999999997
6.738,6.143,0.5950000000000006
7.816,6.738,1.0779999999999994
9.158,7.816,1.3419999999999996
10.304,9.158,1.1460000000000008
10.837,10.304,0.5329999999999995
10.707,10.837,0.129999999999999
10.108,10.707,0.5990000000000002
9.235,10.108,0.8730000000000011
8.338,9.235,0.8970000000000002
7.706,8.338,0.6319999999999988
7.638,7.706,0.0680000000000005
7.886,7.638,0.24800000000000022
8.011,7.886,0.12499999999999911
7.72,8.011,0.2909999999999995
6.999,7.72,0.7210000000000001
6.158,6.999,0.8409999999999993
5.619,6.158,0.5390000000000006
5.304,5.619,0.3149999999999995
5.221,5.304,0.08300000000000018
5.166,5.221,0.054999999999999716
5.229,5.166,0.06299999999999972
5.336,5.229,0.1070000000000002
5.387,5.336,0.05099999999999927
5.417,5.387,0.03000000000000025
5.516,5.417,0.0990000000000002
5.762,5.516,0.24599999999999955
6.078,5.762,0.3160000000000007
