PCA,Power
4.276880648290436,4.283
4.398870838714687,4.405
4.591934693508814,4.598
5.227828088133197,5.234
6.012662901125355,6.019
6.781482498633772,6.787999999999999
7.958161684740655,7.965
8.748934683836657,8.756
9.163825863807304,9.171
9.816691271459971,9.824
10.13763356032913,10.145
9.996693467365864,10.004
10.23771481695588,10.245
10.762547204549591,10.77
11.109648246070044,11.117
11.18171561838792,11.189
11.25267822874902,11.26
11.564581142368528,11.572
12.143406462245956,12.151
12.181349075155369,12.189
11.306603303209823,11.314
10.439887170666502,10.447
9.829128958999979,9.836
9.163375533480238,9.17
8.6195765192148,8.626
8.660584904878164,8.667
9.050042588031266,9.056
9.553898385959696,9.56
10.203706146325132,10.21
10.666572720036783,10.673
10.838511766356945,10.845
10.823530276259937,10.83
10.819585129241764,10.825999999999999
10.948578195529135,10.955
10.987589065845377,10.994000000000002
10.69669401176285,10.703
10.450771876259665,10.457
10.247867734156145,10.254000000000001
10.109429792041405,10.113
10.020479887706527,10.024
9.861479602541403,9.865
9.534499564176993,9.538
9.491449810385257,9.495
10.107245252129204,10.111
10.9980029232818,11.002
11.916712809753454,11.921
12.827456079666087,12.832
13.447363215315175,13.452
13.911290431951311,13.915999999999999
14.25025999928475,14.255
14.128235465491077,14.130999999999998
13.667303406429232,13.67
13.28035629534093,13.283
13.219376789228406,13.222000000000001
13.282389506045577,13.285
12.989473902320622,12.992
12.018694290538718,12.020999999999999
10.648044896937742,10.65
9.768234028462741,9.77
9.485318958371224,9.487
9.487371409769482,9.488999999999999
9.444448130378879,9.446
9.328989979299395,9.33
9.204984414483128,9.206
9.232969065393913,9.234
9.369917988483932,9.371
9.343895248702356,9.345
9.172939930438712,9.174
8.911018175068934,8.912
8.929994303485055,8.931000000000003
9.370839849039724,9.372
9.718736846117997,9.72
9.558783067997897,9.56
8.792005817172967,8.793000000000001
8.05320550969064,8.054
7.7472919446743775,7.747999999999999
8.071219868681647,8.072000000000001
8.685063729114127,8.686
8.8200315398211,8.821
8.61309493831746,8.613999999999999
8.351153978768842,8.352
8.126219389758738,8.127
7.77435507996963,7.775
6.999634479682644,7.0
6.584731021056561,6.585
6.220791817458372,6.221
6.263656284454034,6.263999999999999
6.084725700568636,6.085
6.084765013845851,6.085
6.370756084040642,6.371
6.9996336019486165,7.0
7.766448301354895,7.767
8.316304593837573,8.317
8.524253882183805,8.525
7.767506301865486,7.768
6.694866485742401,6.695
6.803848411944018,6.803999999999999
6.848836837849888,6.849
7.039119648644597,7.0390000000000015
7.804891475401896,7.8050000000000015
8.084821311594274,8.085
8.247810285945562,8.248
7.254146686792008,7.254
6.201501691028009,6.2010000000000005
5.262788251746617,5.2620000000000005
4.553030222026152,4.5520000000000005
4.222161292808558,4.221
3.851273047858207,3.85
3.632324131690019,3.631
3.545384283124567,3.5439999999999996
3.724558421229747,3.7230000000000003
3.9246130091378575,3.923
4.2606442125152055,4.2589999999999995
5.027562974279852,5.026
5.821459587510985,5.82
6.459372462688755,6.457999999999999
5.8865103312999265,5.885
5.801556144876077,5.8
5.530653939693065,5.529
5.423663385977968,5.422000000000001
5.675589903596714,5.6739999999999995
5.569595245152243,5.5680000000000005
5.599137883562705,5.598
5.758106401812183,5.7570000000000014
5.946058893876063,5.945
6.284006665415634,6.2829999999999995
6.637937137668744,6.6370000000000005
6.928886503976757,6.928
7.236821501747914,7.236000000000001
7.689716314663824,7.689
8.034614060566742,8.033999999999999
8.469473155522458,8.469
8.813362810379425,8.812999999999999
8.932355873002122,8.932
9.042524503152082,9.042
9.252473734614302,9.252
9.38943555645195,9.389
9.409456865514484,9.408999999999999
9.437468177017033,9.437000000000001
9.592435026464194,9.592
9.826394467689544,9.826
9.988362411243171,9.988
10.284282344715201,10.284
